tic_id,label,sectors,morphology,source,flags
14081980,eclipsing_binary,"5, 6, 31, 32",0.326,LCF,
14091704,eclipsing_binary,"5, 6, 32",0.429,LCF,A
14207118,eclipsing_binary,"14, 15, 41, 55, 75, 81, 82",0.626,LCF,
14307980,eclipsing_binary,"8, 35, 62",0.503,LCF,
14614418,eclipsing_binary,"10, 36, 63",0.519,LCF,A
14617089,eclipsing_binary,"14, 15, 41, 55, 81, 82",0.633,LCF,
14679411,eclipsing_binary,"10, 36, 63",0.363,LCF,
14709809,eclipsing_binary,"7, 33, 44, 45, 46, 71, 72",0.605,LCF,A
14826027,eclipsing_binary,"22, 46, 49",0.747,LCF,
14842303,eclipsing_binary,"14, 15, 41, 55, 82",0.674,LCF,A
14844585,eclipsing_binary,"14, 15, 41, 55, 75, 81, 82",0.585,LCF,
14948284,eclipsing_binary,"22, 49",0.545,LCF,
15445546,eclipsing_binary,"10, 11, 37, 64",0.445,LCF,
15445551,eclipsing_binary,"10, 11, 37, 64",0.506,LCF,
15613315,eclipsing_binary,"17, 57, 84",0.650,LCF,
15795549,eclipsing_binary,"14, 15, 41, 55, 75, 82",0.597,LCF,
16288184,eclipsing_binary,"12, 39",0.471,LCF,A
16316642,eclipsing_binary,"14, 15, 41, 55, 75, 82",0.758,LCF,
16479253,eclipsing_binary,"20, 60, 73",0.347,LCF,
16485009,eclipsing_binary,"20, 60, 73",0.829,LCF,
16596302,eclipsing_binary,"20, 47, 60",0.871,LCF,
16617827,eclipsing_binary,"14, 15, 41, 55, 75, 82",0.720,LCF,
16700335,eclipsing_binary,"20, 47, 60",0.521,LCF,
16703161,eclipsing_binary,"20, 47, 60",0.261,LCF,
16728252,eclipsing_binary,"14, 15, 41, 55, 56, 75, 76",0.541,LCF,
16740101,eclipsing_binary,"14, 15, 41, 55, 75, 82",0.575,LCF,
16805614,eclipsing_binary,"21, 48",0.098,LCF,
16805617,eclipsing_binary,"21, 48",0.074,LCF,
16805628,eclipsing_binary,"21, 48",0.233,LCF,
17005768,eclipsing_binary,"17, 57, 84",0.190,LCF,A
17206122,eclipsing_binary,"21, 48",0.260,LCF,
17299918,eclipsing_binary,"21, 48",0.337,LCF,
17451194,eclipsing_binary,"14, 15, 41, 55, 56, 75, 76, 82",0.484,LCF,
17468122,eclipsing_binary,"24, 25, 51, 52, 78",0.260,LCF,
17539192,eclipsing_binary,"24, 25, 51, 52, 78",0.667,LCF,
17562290,eclipsing_binary,"24, 25, 51, 52, 78",0.756,LCF,
18028547,eclipsing_binary,"22, 48",0.124,LCF,A
18225199,eclipsing_binary,"17, 57, 84",0.543,LCF,
18250189,eclipsing_binary,"17, 57, 84",0.556,LCF,
18269802,eclipsing_binary,"25, 26, 52, 53, 79, 80",0.740,LCF,
18271803,eclipsing_binary,"25, 26, 52, 53, 79, 80",0.594,LCF,
18319090,eclipsing_binary,"25, 26, 52, 53, 79, 80",0.057,LCF,
18433724,eclipsing_binary,"25, 26, 52, 53, 79, 80",0.819,LCF,
18534775,eclipsing_binary,"25, 26, 52, 53, 79, 80",0.757,LCF,
18636142,eclipsing_binary,"25, 26, 40, 52, 53, 79, 80",0.899,LCF,
18914916,eclipsing_binary,"7, 34, 44, 45, 46, 71, 72",0.081,LCF,
18915591,eclipsing_binary,"7, 34, 44, 45, 46, 71, 72, 88",0.434,LCF,A
19193162,eclipsing_binary,"7, 34, 61, 88",0.384,LCF,
19271382,eclipsing_binary,"8, 9, 35, 62",0.381,LCF,
19570530,eclipsing_binary,"7, 34, 61, 88",0.286,LCF,
20072363,eclipsing_binary,"5, 6, 32, 33, 87",0.859,LCF,
20095466,eclipsing_binary,"5, 6, 32, 33, 87",0.437,LCF,A
20176492,eclipsing_binary,"5, 6, 32, 33, 87",0.557,LCF,
20212631,eclipsing_binary,"23, 24, 50, 51, 77, 78",0.824,LCF,
20239565,eclipsing_binary,"23, 24, 51, 77, 78",0.257,LCF,
20299889,eclipsing_binary,"23, 24, 51, 77, 78",0.496,LCF,
20876588,eclipsing_binary,"18, 58, 85",0.532,LCF,
21126323,eclipsing_binary,"14, 25, 26, 40, 41, 52, 53, 54, 58, 74, 75, 79, 80, 81, 82",0.525,LCF,
21174723,eclipsing_binary,"18, 43, 58, 85",0.557,LCF,
21175869,eclipsing_binary,"18, 58, 85",0.875,LCF,
21184505,eclipsing_binary,"7, 34, 44, 45, 46, 72",0.876,LCF,
21319374,eclipsing_binary,"19, 73, 86",0.430,LCF,
21442712,eclipsing_binary,"5, 6, 32, 33, 87",0.951,LCF,
21499327,eclipsing_binary,"21, 48",0.167,LCF,
21499609,eclipsing_binary,"21, 48",0.205,LCF,
21639186,eclipsing_binary,"10, 37, 64",0.467,LCF,
21729403,eclipsing_binary,"5, 6, 32, 33, 87",0.690,LCF,
21827849,eclipsing_binary,"10, 37, 64",0.458,LCF,
22017780,eclipsing_binary,"22, 23, 49, 76",0.809,LCF,
22079739,eclipsing_binary,"9, 35, 62",0.458,LCF,A
22120766,eclipsing_binary,"8, 9, 35, 62",0.683,LCF,
22146154,eclipsing_binary,"9, 35, 62",0.107,LCF,
22221233,eclipsing_binary,"9, 35, 62",0.686,LCF,
22390773,eclipsing_binary,"10, 37, 64",0.109,LCF,
22457438,eclipsing_binary,"10, 37, 63",0.717,LCF,
22481474,eclipsing_binary,"10, 37, 63",0.433,LCF,
22538139,eclipsing_binary,"6, 7, 8, 33, 34, 61, 87, 88",0.321,LCF,
22590328,eclipsing_binary,"20, 47, 60",0.295,LCF,
22766107,eclipsing_binary,"7, 8, 33, 34, 61, 87, 88",0.408,LCF,
22818693,eclipsing_binary,"22, 23, 49, 50, 76, 77",0.128,LCF,
22843856,eclipsing_binary,"18, 42, 43, 44, 58, 70, 71, 85",0.305,LCF,A
22937402,eclipsing_binary,"7, 33, 34, 61, 87, 88",0.484,LCF,
23139612,eclipsing_binary,"4, 31",0.799,LCF,
23221002,eclipsing_binary,"4, 31",0.745,LCF,
23324827,eclipsing_binary,"9, 36, 63",0.312,LCF,A
23328912,eclipsing_binary,"9, 10, 36, 63",0.520,LCF,
23555025,eclipsing_binary,"9, 10, 36, 63",0.346,LCF,
23559851,eclipsing_binary,"9, 10, 36, 63",0.611,LCF,
23753424,eclipsing_binary,"16, 23, 49, 50, 76, 77",0.940,LCF,
24004619,eclipsing_binary,"21, 48",0.534,LCF,
24077469,eclipsing_binary,"24, 25, 51, 78",0.297,LCF,
24133365,eclipsing_binary,"12, 38",0.338,LCF,
24194061,eclipsing_binary,"12, 38, 65",0.561,LCF,
24397947,eclipsing_binary,"5, 6, 32, 33",0.260,LCF,A
24400247,eclipsing_binary,"5, 6, 32",0.235,LCF,
24433067,eclipsing_binary,"5, 6, 32, 33",0.466,LCF,
24450633,eclipsing_binary,"5, 6, 32, 33",0.617,LCF,
24522770,eclipsing_binary,"5, 32",0.596,LCF,
24586751,eclipsing_binary,"5, 6, 32, 33",0.639,LCF,
24588623,eclipsing_binary,"5, 6, 32, 33, 87",0.634,LCF,
24606516,eclipsing_binary,"5, 6, 32",0.857,LCF,
24704862,eclipsing_binary,"1, 2, 29, 68, 69",0.213,LCF,I
24733359,eclipsing_binary,"8, 9, 35, 62",0.903,LCF,
24935204,eclipsing_binary,"17, 57, 84",0.081,LCF,
24972851,eclipsing_binary,"8, 9, 35, 62",0.336,LCF,
25078120,eclipsing_binary,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 61, 63, 64, 65, 66, 67, 68, 69, 87, 88",0.952,LCF,
25078924,eclipsing_binary,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 61, 62, 63, 64, 65, 66, 67, 68, 69, 87, 88",0.556,LCF,
25155310,eclipsing_binary,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 61, 62, 63, 64, 65, 66, 67, 68, 69, 87, 88",0.349,LCF,A
25156751,eclipsing_binary,"8, 9, 35, 62",0.445,LCF,
25188036,eclipsing_binary,"6, 33, 87",0.400,LCF,
25195864,eclipsing_binary,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 61, 62, 63, 64, 65, 66, 67, 68, 69, 87, 88",0.725,LCF,
25226885,eclipsing_binary,"1, 28",0.520,LCF,
25354620,eclipsing_binary,"1, 28, 68",0.165,LCF,
25375553,eclipsing_binary,"1, 28, 68",0.447,LCF,
25858367,eclipsing_binary,"13, 66",0.558,LCF,
26273760,eclipsing_binary,"8, 35, 62",0.275,LCF,
26432264,eclipsing_binary,"18, 42, 43, 44, 58, 86",0.742,LCF,
26489741,eclipsing_binary,"14, 15, 40, 41, 54, 55, 56, 74, 75, 76, 80, 81, 82, 83",0.388,LCF,A
26533207,eclipsing_binary,"18, 43, 86",0.788,LCF,
26542657,eclipsing_binary,"14, 15, 40, 41, 54, 55, 56, 74, 75, 76, 80, 81, 82, 83",0.175,LCF,
26543048,eclipsing_binary,"14, 15, 41, 54, 55, 56, 74, 75, 76, 80, 81, 82, 83",1.073,LCF,
26568753,eclipsing_binary,"17, 24, 57, 84",0.213,LCF,
26656583,eclipsing_binary,"14, 15, 40, 41, 54, 55, 56, 74, 75, 81, 82",0.628,LCF,
26801525,eclipsing_binary,"17, 24, 57, 84",0.250,LCF,
26993764,eclipsing_binary,"17, 24, 57, 84",0.394,LCF,
27006880,eclipsing_binary,"14, 15, 40, 41, 54, 55, 56, 74, 75, 76, 81, 82, 83",0.192,LCF,
27112021,eclipsing_binary,"23, 50",0.957,LCF,
27307817,eclipsing_binary,"14, 15, 40, 41, 54, 55, 56, 74, 75, 76, 81, 82, 83",0.685,LCF,
27312189,eclipsing_binary,"14, 15, 16, 40, 41, 54, 55, 56, 74, 75, 76, 81, 82, 83",0.259,LCF,
27397122,eclipsing_binary,"14, 15, 40, 41, 54, 55, 56, 74, 75, 76, 81, 82, 83",0.148,LCF,
27654882,eclipsing_binary,"7, 34, 44, 45, 46, 71, 72",0.479,LCF,A
27767184,eclipsing_binary,"14, 15, 40, 41, 54, 55, 56, 74, 75, 76, 81, 82, 83",0.359,LCF,
27843942,eclipsing_binary,"14, 15, 16, 40, 41, 54, 55, 56, 74, 76, 81, 82, 83",0.472,LCF,
27844498,eclipsing_binary,"14, 15, 16, 40, 41, 54, 55, 56, 74, 75, 76, 81, 82, 83",0.676,LCF,
27845677,eclipsing_binary,"14, 15, 40, 41, 54, 55, 56, 74, 75, 76, 81, 82, 83",0.048,LCF,
27915909,eclipsing_binary,"14, 15, 41, 54, 55, 56, 74, 75, 76, 81, 83",0.111,LCF,
28051929,eclipsing_binary,"3, 30",0.153,LCF,
28157482,eclipsing_binary,"23, 50, 77",0.358,LCF,
28159019,eclipsing_binary,"14, 15, 41, 54, 55, 56, 74, 75, 76, 81, 82, 83",0.500,LCF,
28188795,eclipsing_binary,"23, 50, 77",0.672,LCF,
28224552,eclipsing_binary,"17, 85",0.123,LCF,
28230919,eclipsing_binary,"14, 15, 41, 54, 55, 56, 74, 75, 76, 82, 83",0.227,LCF,A
28290956,eclipsing_binary,"23, 24, 50, 77",0.213,LCF,
28304399,eclipsing_binary,"14, 15, 16, 41, 54, 56, 74, 75, 76, 81, 82, 83",0.722,LCF,
28306907,eclipsing_binary,"14, 15, 41, 54, 55, 56, 74, 75, 76, 81, 82, 83",0.930,LCF,
28351918,eclipsing_binary,"17, 42, 43, 85",0.550,LCF,
28359831,eclipsing_binary,"14, 15, 41, 54, 55, 56, 74, 75, 76, 81, 82, 83",0.829,LCF,
28391714,eclipsing_binary,"17, 58, 85",0.592,LCF,
28449295,eclipsing_binary,"14, 15, 41, 54, 55, 56, 74, 75, 76, 81, 82, 83",0.279,LCF,
28498786,eclipsing_binary,"19, 59, 86",0.598,LCF,
28586609,eclipsing_binary,"19, 59, 86",0.314,LCF,
28763683,eclipsing_binary,"17, 18, 58, 85",0.744,LCF,
29053989,eclipsing_binary,"18, 42, 43, 44, 70, 71",0.543,LCF,
29478974,eclipsing_binary,"1, 28, 68",0.135,LCF,
29684896,eclipsing_binary,"8, 9, 35, 36, 62, 63",0.453,LCF,
29697290,eclipsing_binary,"8, 9, 35, 36, 62",0.645,LCF,A
29706981,eclipsing_binary,"14, 40, 41, 54, 74, 80",0.660,LCF,
